calibration_level,question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
baseline,Q1,Neutral,1.0,3.0,29,0.034482758620689655,0.10344827586206896,0.06896551724137931
baseline,Q1,Oppose,3.0,1.0,29,0.10344827586206896,0.034482758620689655,-0.06896551724137931
baseline,Q1,Support,25.0,25.0,29,0.8620689655172413,0.8620689655172413,0.0
baseline,Q2,Neutral,6.0,1.0,30,0.2,0.03333333333333333,-0.16666666666666669
baseline,Q2,Oppose,8.0,7.0,30,0.26666666666666666,0.23333333333333334,-0.033333333333333326
baseline,Q2,Support,16.0,22.0,30,0.5333333333333333,0.7333333333333333,0.19999999999999996
baseline,Q3,Neutral,5.0,0.0,30,0.16666666666666666,0.0,-0.16666666666666666
baseline,Q3,Oppose,11.0,6.0,30,0.36666666666666664,0.2,-0.16666666666666663
baseline,Q3,Support,14.0,24.0,30,0.4666666666666667,0.8,0.33333333333333337
baseline,Q4,Neutral,0.0,1.0,30,0.0,0.03333333333333333,0.03333333333333333
baseline,Q4,Oppose,2.0,3.0,30,0.06666666666666667,0.1,0.03333333333333334
baseline,Q4,Support,28.0,26.0,30,0.9333333333333333,0.8666666666666667,-0.06666666666666665
baseline,Q5,Neutral,8.0,3.0,30,0.26666666666666666,0.1,-0.16666666666666666
baseline,Q5,Oppose,5.0,5.0,30,0.16666666666666666,0.16666666666666666,0.0
baseline,Q5,Support,17.0,22.0,30,0.5666666666666667,0.7333333333333333,0.16666666666666663
baseline,Q6,Neutral,9.0,1.0,30,0.3,0.03333333333333333,-0.26666666666666666
baseline,Q6,Oppose,9.0,7.0,30,0.3,0.23333333333333334,-0.06666666666666665
baseline,Q6,Support,12.0,22.0,30,0.4,0.7333333333333333,0.33333333333333326
soft,Q1,Neutral,1.0,0.0,28,0.03571428571428571,0.0,-0.03571428571428571
soft,Q1,Oppose,3.0,1.0,28,0.10714285714285714,0.03571428571428571,-0.07142857142857142
soft,Q1,Support,24.0,27.0,28,0.8571428571428571,0.9642857142857143,0.1071428571428572
soft,Q2,Neutral,5.0,1.0,27,0.18518518518518517,0.037037037037037035,-0.14814814814814814
soft,Q2,Oppose,8.0,5.0,27,0.2962962962962963,0.18518518518518517,-0.1111111111111111
soft,Q2,Support,14.0,21.0,27,0.5185185185185185,0.7777777777777778,0.2592592592592593
soft,Q3,Neutral,5.0,0.0,29,0.1724137931034483,0.0,-0.1724137931034483
soft,Q3,Oppose,11.0,7.0,29,0.3793103448275862,0.2413793103448276,-0.1379310344827586
soft,Q3,Support,13.0,22.0,29,0.4482758620689655,0.7586206896551724,0.31034482758620685
soft,Q4,Oppose,2.0,2.0,29,0.06896551724137931,0.06896551724137931,0.0
soft,Q4,Support,27.0,27.0,29,0.9310344827586207,0.9310344827586207,0.0
soft,Q5,Neutral,8.0,1.0,29,0.27586206896551724,0.034482758620689655,-0.24137931034482757
soft,Q5,Oppose,5.0,5.0,29,0.1724137931034483,0.1724137931034483,0.0
soft,Q5,Support,16.0,23.0,29,0.5517241379310345,0.7931034482758621,0.24137931034482762
soft,Q6,Neutral,9.0,1.0,29,0.3103448275862069,0.034482758620689655,-0.27586206896551724
soft,Q6,Oppose,8.0,6.0,29,0.27586206896551724,0.20689655172413793,-0.06896551724137931
soft,Q6,Support,12.0,22.0,29,0.41379310344827586,0.7586206896551724,0.3448275862068965
strong,Q1,Neutral,1.0,9.0,30,0.03333333333333333,0.3,0.26666666666666666
strong,Q1,Oppose,3.0,0.0,30,0.1,0.0,-0.1
strong,Q1,Support,26.0,21.0,30,0.8666666666666667,0.7,-0.16666666666666674
strong,Q2,Neutral,6.0,14.0,29,0.20689655172413793,0.4827586206896552,0.27586206896551724
strong,Q2,Oppose,8.0,0.0,29,0.27586206896551724,0.0,-0.27586206896551724
strong,Q2,Support,15.0,15.0,29,0.5172413793103449,0.5172413793103449,0.0
strong,Q3,Neutral,5.0,16.0,29,0.1724137931034483,0.5517241379310345,0.3793103448275862
strong,Q3,Oppose,11.0,0.0,29,0.3793103448275862,0.0,-0.3793103448275862
strong,Q3,Support,13.0,13.0,29,0.4482758620689655,0.4482758620689655,0.0
strong,Q4,Neutral,0.0,8.0,30,0.0,0.26666666666666666,0.26666666666666666
strong,Q4,Oppose,2.0,0.0,30,0.06666666666666667,0.0,-0.06666666666666667
strong,Q4,Support,28.0,22.0,30,0.9333333333333333,0.7333333333333333,-0.20000000000000007
strong,Q5,Neutral,8.0,14.0,29,0.27586206896551724,0.4827586206896552,0.20689655172413796
strong,Q5,Oppose,5.0,0.0,29,0.1724137931034483,0.0,-0.1724137931034483
strong,Q5,Support,16.0,15.0,29,0.5517241379310345,0.5172413793103449,-0.03448275862068961
strong,Q6,Neutral,9.0,16.0,30,0.3,0.5333333333333333,0.23333333333333334
strong,Q6,Oppose,9.0,0.0,30,0.3,0.0,-0.3
strong,Q6,Support,12.0,14.0,30,0.4,0.4666666666666667,0.06666666666666665
