calibration_level,question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
baseline,Q1,Oppose,1.0,0.0,4,0.25,0.0,-0.25
baseline,Q1,Support,3.0,4.0,4,0.75,1.0,0.25
baseline,Q2,Oppose,2.0,1.0,5,0.4,0.2,-0.2
baseline,Q2,Support,3.0,4.0,5,0.6,0.8,0.20000000000000007
baseline,Q3,Oppose,2.0,0.0,5,0.4,0.0,-0.4
baseline,Q3,Support,3.0,5.0,5,0.6,1.0,0.4
baseline,Q4,Support,5.0,5.0,5,1.0,1.0,0.0
baseline,Q5,Neutral,3.0,0.0,5,0.6,0.0,-0.6
baseline,Q5,Oppose,1.0,1.0,5,0.2,0.2,0.0
baseline,Q5,Support,1.0,4.0,5,0.2,0.8,0.6000000000000001
baseline,Q6,Oppose,2.0,1.0,5,0.4,0.2,-0.2
baseline,Q6,Support,3.0,4.0,5,0.6,0.8,0.20000000000000007
soft,Q1,Oppose,1.0,0.0,5,0.2,0.0,-0.2
soft,Q1,Support,4.0,5.0,5,0.8,1.0,0.19999999999999996
soft,Q2,Oppose,2.0,0.0,4,0.5,0.0,-0.5
soft,Q2,Support,2.0,4.0,4,0.5,1.0,0.5
soft,Q3,Oppose,2.0,0.0,4,0.5,0.0,-0.5
soft,Q3,Support,2.0,4.0,4,0.5,1.0,0.5
soft,Q4,Support,5.0,5.0,5,1.0,1.0,0.0
soft,Q5,Neutral,3.0,0.0,5,0.6,0.0,-0.6
soft,Q5,Oppose,1.0,0.0,5,0.2,0.0,-0.2
soft,Q5,Support,1.0,5.0,5,0.2,1.0,0.8
soft,Q6,Oppose,2.0,0.0,5,0.4,0.0,-0.4
soft,Q6,Support,3.0,5.0,5,0.6,1.0,0.4
strong,Q1,Oppose,1.0,0.0,5,0.2,0.0,-0.2
strong,Q1,Support,4.0,5.0,5,0.8,1.0,0.19999999999999996
strong,Q2,Neutral,0.0,2.0,5,0.0,0.4,0.4
strong,Q2,Oppose,2.0,0.0,5,0.4,0.0,-0.4
strong,Q2,Support,3.0,3.0,5,0.6,0.6,0.0
strong,Q3,Neutral,0.0,2.0,5,0.0,0.4,0.4
strong,Q3,Oppose,2.0,0.0,5,0.4,0.0,-0.4
strong,Q3,Support,3.0,3.0,5,0.6,0.6,0.0
strong,Q4,Support,5.0,5.0,5,1.0,1.0,0.0
strong,Q5,Neutral,3.0,1.0,5,0.6,0.2,-0.39999999999999997
strong,Q5,Oppose,1.0,0.0,5,0.2,0.0,-0.2
strong,Q5,Support,1.0,4.0,5,0.2,0.8,0.6000000000000001
strong,Q6,Neutral,0.0,2.0,5,0.0,0.4,0.4
strong,Q6,Oppose,2.0,0.0,5,0.4,0.0,-0.4
strong,Q6,Support,3.0,3.0,5,0.6,0.6,0.0
