run_timestamp,experiment_name,persona_mode,question_id,question_text,question_column,respondent_id,agent_answer,expected_answer,exact_match_score,provider,model_name,temperature
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1820,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,692,D,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,46,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1216,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,156,E,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,405,D,F,0.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,248,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_213228,neutral_calibrated_persona_ablation,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1485,G,F,1.0,gemini,gemini-2.5-flash,0.0
