run_timestamp,experiment_name,calibration_level,persona_mode,question_id,question_text,question_column,respondent_id,agent_answer,expected_answer,exact_match_score,provider,model_name,temperature
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1820,G,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,940,F,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,692,A,A,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1820,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,851,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,940,F,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,692,F,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1820,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,692,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,1820,G,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,940,F,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,1084,G,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,692,A,C,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,1820,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,851,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,940,G,C,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,baseline,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,692,C,A,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1820,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1820,G,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,940,F,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1820,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,940,E,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1820,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,692,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,1820,G,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,940,F,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,1084,G,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,692,G,C,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,1820,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,851,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,940,F,C,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,soft,full_persona,Q6,"Please say how much you support or oppose government policies that do the following: Compensate people in other countries, who are impacted by climate change",page5posttreatment6_11,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1820,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,692,G,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1820,G,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,940,D,E,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,692,D,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1820,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,851,G,F,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,940,D,B,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q3,Please say how much you support or oppose government policies that do the following: Ban the sale of new petrol cars by no later than 2030,page5posttreatment6_5,692,D,A,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1820,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,940,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,1084,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q4,"Please say how much you support or oppose government policies that do the following: Mandate that all new housing developments should have non-fossil fuel heating systems, roof-top solar panels, high-level of insulation",page5posttreatment6_7,692,G,E,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,1820,G,D,0.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,851,G,G,1.0,gemini,gemini-2.5-flash,0.0
20260306_220930,neutral_calibration_sweep_full_persona,strong,full_persona,Q5,Please say how much you support or oppose government policies that do the following: Impose a carbon tax on fossil fuel sale and distribute the tax revenues to the public (i.e. carbon fee and dividend),page5posttreatment6_9,940,F,D,0.0,gemini,gemini-2.5-flash,0.0
