run_timestamp,experiment_name,calibration_level,persona_mode,question_id,question_text,question_column,respondent_id,agent_answer,expected_answer,exact_match_score,provider,model_name,temperature
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1820,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,851,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,940,G,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1084,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,692,G,A,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,46,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1216,G,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,156,F,D,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,405,E,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,248,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1485,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,605,B,G,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,378,F,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1469,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1006,E,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,887,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,595,F,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1772,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1016,E,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1301,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,728,F,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,143,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,389,G,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,50,E,B,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,198,F,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1532,E,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,580,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1761,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,409,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q1,"Please say how much you support or oppose government policies that do the following: Accelerate the roll-out of renewable energy production, (e.g. more offshore and onshore wind parks)",page5posttreatment6_1,1175,E,C,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1820,G,B,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,851,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,940,F,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1084,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,692,A,A,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,46,F,D,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1216,G,E,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,156,F,D,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,405,B,C,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,248,G,G,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1485,G,A,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,605,A,F,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,378,B,D,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1469,G,F,1.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,1006,C,F,0.0,gemini,gemini-2.0-flash,0.0
20260306_221621,neutral_calibration_sweep_full_persona,baseline,full_persona,Q2,Please say how much you support or oppose government policies that do the following: Ban new oil/gas/coal licenses,page5posttreatment6_4,887,G,G,1.0,gemini,gemini-2.0-flash,0.0
