day,phase,message_type,sender_type,sender_id,sender_side,recipient_id,recipient_scope,policy_id,package_scope,policy_ids_json,message_text
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,684.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by no later than 2030.

This is Real Hope, Real Change. Faster action on transport is vital for cleaner air, lower household bills, and a safer climate for young people. Electric vehicles are now cheaper to run, and when powered by publicly owned renewable energy they cut emissions and keep money in our communities — not in the pockets of fossil fuel shareholders. But a transition must be fair: the government should fund a nationwide insulation and charging programme, retrofit grants for low-income households, and scrappage schemes so renters, low-earners and public sector workers aren’t left behind. Free or reduced fares for young people and investment in local buses, trains and active travel will make car-free life possible, not just desirable.

This ban is about the common good — protecting children’s health with clean air outside schools, creating green jobs, and using a wealth tax to pay for it. For the Common Good: phase out petrol cars by 2030 and build Fairer, Greener Communities."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,858.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by no later than 2030.

This is Real Hope, Real Change. Faster action on transport is vital for cleaner air, lower household bills, and a safer climate for young people. Electric vehicles are now cheaper to run, and when powered by publicly owned renewable energy they cut emissions and keep money in our communities — not in the pockets of fossil fuel shareholders. But a transition must be fair: the government should fund a nationwide insulation and charging programme, retrofit grants for low-income households, and scrappage schemes so renters, low-earners and public sector workers aren’t left behind. Free or reduced fares for young people and investment in local buses, trains and active travel will make car-free life possible, not just desirable.

This ban is about the common good — protecting children’s health with clean air outside schools, creating green jobs, and using a wealth tax to pay for it. For the Common Good: phase out petrol cars by 2030 and build Fairer, Greener Communities."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1406.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by no later than 2030.

This is Real Hope, Real Change. Faster action on transport is vital for cleaner air, lower household bills, and a safer climate for young people. Electric vehicles are now cheaper to run, and when powered by publicly owned renewable energy they cut emissions and keep money in our communities — not in the pockets of fossil fuel shareholders. But a transition must be fair: the government should fund a nationwide insulation and charging programme, retrofit grants for low-income households, and scrappage schemes so renters, low-earners and public sector workers aren’t left behind. Free or reduced fares for young people and investment in local buses, trains and active travel will make car-free life possible, not just desirable.

This ban is about the common good — protecting children’s health with clean air outside schools, creating green jobs, and using a wealth tax to pay for it. For the Common Good: phase out petrol cars by 2030 and build Fairer, Greener Communities."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1311.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by no later than 2030.

This is Real Hope, Real Change. Faster action on transport is vital for cleaner air, lower household bills, and a safer climate for young people. Electric vehicles are now cheaper to run, and when powered by publicly owned renewable energy they cut emissions and keep money in our communities — not in the pockets of fossil fuel shareholders. But a transition must be fair: the government should fund a nationwide insulation and charging programme, retrofit grants for low-income households, and scrappage schemes so renters, low-earners and public sector workers aren’t left behind. Free or reduced fares for young people and investment in local buses, trains and active travel will make car-free life possible, not just desirable.

This ban is about the common good — protecting children’s health with clean air outside schools, creating green jobs, and using a wealth tax to pay for it. For the Common Good: phase out petrol cars by 2030 and build Fairer, Greener Communities."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,331.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by no later than 2030.

This is Real Hope, Real Change. Faster action on transport is vital for cleaner air, lower household bills, and a safer climate for young people. Electric vehicles are now cheaper to run, and when powered by publicly owned renewable energy they cut emissions and keep money in our communities — not in the pockets of fossil fuel shareholders. But a transition must be fair: the government should fund a nationwide insulation and charging programme, retrofit grants for low-income households, and scrappage schemes so renters, low-earners and public sector workers aren’t left behind. Free or reduced fares for young people and investment in local buses, trains and active travel will make car-free life possible, not just desirable.

This ban is about the common good — protecting children’s health with clean air outside schools, creating green jobs, and using a wealth tax to pay for it. For the Common Good: phase out petrol cars by 2030 and build Fairer, Greener Communities."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,684.0,broadcast,ClimatePolicyID(3),,[],"Ban the sale of new petrol cars by 2030? I oppose it — strongly. This is another Westminster diktat from the Green Blob, handed down by people who’ve never filled a tractor with diesel or struggled to get to work when the bus doesn’t run. For ordinary folk a petrol ban means forced expense, scrapped livelihoods and fewer choices. Electric cars are fine for some, but not everyone can afford them, charge them where they live, or rely on them for long rural journeys and farm work.

Pushing through this ban by 2030 will hit working families, haulage firms, farmers and small businesses hardest — the very backbone of Britain. It’s ideologically-driven policy dressed up as climate virtue-signalling, and it leaves households with higher bills and hidden taxes to pay for charging networks and subsidies. Instead of top-down bans, let’s invest in British energy, stop green levies on bills, and focus on practical solutions that don’t punish drivers. Scrap the 2030 petrol car ban — restore common-sense freedom and protect livelihoods."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,615.0,broadcast,ClimatePolicyID(3),,[],"Ban the sale of new petrol cars by 2030? I oppose it — strongly. This is another Westminster diktat from the Green Blob, handed down by people who’ve never filled a tractor with diesel or struggled to get to work when the bus doesn’t run. For ordinary folk a petrol ban means forced expense, scrapped livelihoods and fewer choices. Electric cars are fine for some, but not everyone can afford them, charge them where they live, or rely on them for long rural journeys and farm work.

Pushing through this ban by 2030 will hit working families, haulage firms, farmers and small businesses hardest — the very backbone of Britain. It’s ideologically-driven policy dressed up as climate virtue-signalling, and it leaves households with higher bills and hidden taxes to pay for charging networks and subsidies. Instead of top-down bans, let’s invest in British energy, stop green levies on bills, and focus on practical solutions that don’t punish drivers. Scrap the 2030 petrol car ban — restore common-sense freedom and protect livelihoods."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,822.0,broadcast,ClimatePolicyID(3),,[],"Ban the sale of new petrol cars by 2030? I oppose it — strongly. This is another Westminster diktat from the Green Blob, handed down by people who’ve never filled a tractor with diesel or struggled to get to work when the bus doesn’t run. For ordinary folk a petrol ban means forced expense, scrapped livelihoods and fewer choices. Electric cars are fine for some, but not everyone can afford them, charge them where they live, or rely on them for long rural journeys and farm work.

Pushing through this ban by 2030 will hit working families, haulage firms, farmers and small businesses hardest — the very backbone of Britain. It’s ideologically-driven policy dressed up as climate virtue-signalling, and it leaves households with higher bills and hidden taxes to pay for charging networks and subsidies. Instead of top-down bans, let’s invest in British energy, stop green levies on bills, and focus on practical solutions that don’t punish drivers. Scrap the 2030 petrol car ban — restore common-sense freedom and protect livelihoods."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1355.0,broadcast,ClimatePolicyID(3),,[],"Ban the sale of new petrol cars by 2030? I oppose it — strongly. This is another Westminster diktat from the Green Blob, handed down by people who’ve never filled a tractor with diesel or struggled to get to work when the bus doesn’t run. For ordinary folk a petrol ban means forced expense, scrapped livelihoods and fewer choices. Electric cars are fine for some, but not everyone can afford them, charge them where they live, or rely on them for long rural journeys and farm work.

Pushing through this ban by 2030 will hit working families, haulage firms, farmers and small businesses hardest — the very backbone of Britain. It’s ideologically-driven policy dressed up as climate virtue-signalling, and it leaves households with higher bills and hidden taxes to pay for charging networks and subsidies. Instead of top-down bans, let’s invest in British energy, stop green levies on bills, and focus on practical solutions that don’t punish drivers. Scrap the 2030 petrol car ban — restore common-sense freedom and protect livelihoods."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1925.0,broadcast,ClimatePolicyID(3),,[],"Ban the sale of new petrol cars by 2030? I oppose it — strongly. This is another Westminster diktat from the Green Blob, handed down by people who’ve never filled a tractor with diesel or struggled to get to work when the bus doesn’t run. For ordinary folk a petrol ban means forced expense, scrapped livelihoods and fewer choices. Electric cars are fine for some, but not everyone can afford them, charge them where they live, or rely on them for long rural journeys and farm work.

Pushing through this ban by 2030 will hit working families, haulage firms, farmers and small businesses hardest — the very backbone of Britain. It’s ideologically-driven policy dressed up as climate virtue-signalling, and it leaves households with higher bills and hidden taxes to pay for charging networks and subsidies. Instead of top-down bans, let’s invest in British energy, stop green levies on bills, and focus on practical solutions that don’t punish drivers. Scrap the 2030 petrol car ban — restore common-sense freedom and protect livelihoods."
