agent_id,day,index_name,package_scope,package_index
1066.0,0,ProClimatePolSupp,climate_policy_package,2.1666666666666665
1066.0,1,ProClimatePolSupp,climate_policy_package,2.3333333333333335
1066.0,2,ProClimatePolSupp,climate_policy_package,2.3333333333333335
1260.0,0,ProClimatePolSupp,climate_policy_package,1.8333333333333333
1260.0,1,ProClimatePolSupp,climate_policy_package,1.5
1260.0,2,ProClimatePolSupp,climate_policy_package,1.3333333333333333
1393.0,0,ProClimatePolSupp,climate_policy_package,-1.1666666666666667
1393.0,1,ProClimatePolSupp,climate_policy_package,-0.8333333333333334
1393.0,2,ProClimatePolSupp,climate_policy_package,-1.3333333333333333
413.0,0,ProClimatePolSupp,climate_policy_package,2.3333333333333335
413.0,1,ProClimatePolSupp,climate_policy_package,1.6666666666666667
413.0,2,ProClimatePolSupp,climate_policy_package,1.3333333333333333
272.0,0,ProClimatePolSupp,climate_policy_package,-0.5
272.0,1,ProClimatePolSupp,climate_policy_package,-1.0
272.0,2,ProClimatePolSupp,climate_policy_package,-0.6666666666666666
