agent_id,policy_id,ground_truth
1923.0,ClimatePolicyID(1),1
1923.0,ClimatePolicyID(2),1
1923.0,ClimatePolicyID(3),1
1923.0,ClimatePolicyID(4),1
1923.0,ClimatePolicyID(5),0
1923.0,ClimatePolicyID(6),0
528.0,ClimatePolicyID(1),3
528.0,ClimatePolicyID(2),3
528.0,ClimatePolicyID(3),3
528.0,ClimatePolicyID(4),3
528.0,ClimatePolicyID(5),3
528.0,ClimatePolicyID(6),2
541.0,ClimatePolicyID(1),0
541.0,ClimatePolicyID(2),3
541.0,ClimatePolicyID(3),3
541.0,ClimatePolicyID(4),2
541.0,ClimatePolicyID(5),3
541.0,ClimatePolicyID(6),3
1545.0,ClimatePolicyID(1),1
1545.0,ClimatePolicyID(2),0
1545.0,ClimatePolicyID(3),1
1545.0,ClimatePolicyID(4),0
1545.0,ClimatePolicyID(5),1
1545.0,ClimatePolicyID(6),0
1309.0,ClimatePolicyID(1),2
1309.0,ClimatePolicyID(2),-2
1309.0,ClimatePolicyID(3),2
1309.0,ClimatePolicyID(4),2
1309.0,ClimatePolicyID(5),0
1309.0,ClimatePolicyID(6),-2
