agent_id,day,index_name,package_scope,package_index
165.0,0,ProClimatePolSupp,climate_policy_package,0.8333333333333334
165.0,1,ProClimatePolSupp,climate_policy_package,1.1666666666666667
165.0,2,ProClimatePolSupp,climate_policy_package,1.0
165.0,3,ProClimatePolSupp,climate_policy_package,1.0
165.0,4,ProClimatePolSupp,climate_policy_package,1.1666666666666667
165.0,5,ProClimatePolSupp,climate_policy_package,1.0
582.0,0,ProClimatePolSupp,climate_policy_package,0.0
582.0,1,ProClimatePolSupp,climate_policy_package,0.5
582.0,2,ProClimatePolSupp,climate_policy_package,0.16666666666666666
582.0,3,ProClimatePolSupp,climate_policy_package,0.16666666666666666
582.0,4,ProClimatePolSupp,climate_policy_package,0.0
582.0,5,ProClimatePolSupp,climate_policy_package,0.5
1379.0,0,ProClimatePolSupp,climate_policy_package,0.3333333333333333
1379.0,1,ProClimatePolSupp,climate_policy_package,0.3333333333333333
1379.0,2,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1379.0,3,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1379.0,4,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1379.0,5,ProClimatePolSupp,climate_policy_package,0.8333333333333334
713.0,0,ProClimatePolSupp,climate_policy_package,-2.1666666666666665
713.0,1,ProClimatePolSupp,climate_policy_package,-1.5
713.0,2,ProClimatePolSupp,climate_policy_package,-2.1666666666666665
713.0,3,ProClimatePolSupp,climate_policy_package,-2.1666666666666665
713.0,4,ProClimatePolSupp,climate_policy_package,-2.1666666666666665
713.0,5,ProClimatePolSupp,climate_policy_package,-2.1666666666666665
1878.0,0,ProClimatePolSupp,climate_policy_package,0.6666666666666666
1878.0,1,ProClimatePolSupp,climate_policy_package,1.3333333333333333
1878.0,2,ProClimatePolSupp,climate_policy_package,1.1666666666666667
1878.0,3,ProClimatePolSupp,climate_policy_package,1.1666666666666667
1878.0,4,ProClimatePolSupp,climate_policy_package,1.3333333333333333
1878.0,5,ProClimatePolSupp,climate_policy_package,1.3333333333333333
844.0,0,ProClimatePolSupp,climate_policy_package,2.0
844.0,1,ProClimatePolSupp,climate_policy_package,2.0
844.0,2,ProClimatePolSupp,climate_policy_package,2.0
844.0,3,ProClimatePolSupp,climate_policy_package,2.0
844.0,4,ProClimatePolSupp,climate_policy_package,2.0
844.0,5,ProClimatePolSupp,climate_policy_package,2.0
409.0,0,ProClimatePolSupp,climate_policy_package,1.8333333333333333
409.0,1,ProClimatePolSupp,climate_policy_package,1.8333333333333333
409.0,2,ProClimatePolSupp,climate_policy_package,1.8333333333333333
409.0,3,ProClimatePolSupp,climate_policy_package,1.8333333333333333
409.0,4,ProClimatePolSupp,climate_policy_package,1.8333333333333333
409.0,5,ProClimatePolSupp,climate_policy_package,1.8333333333333333
1957.0,0,ProClimatePolSupp,climate_policy_package,2.6666666666666665
1957.0,1,ProClimatePolSupp,climate_policy_package,2.6666666666666665
1957.0,2,ProClimatePolSupp,climate_policy_package,2.5
1957.0,3,ProClimatePolSupp,climate_policy_package,2.6666666666666665
1957.0,4,ProClimatePolSupp,climate_policy_package,2.6666666666666665
1957.0,5,ProClimatePolSupp,climate_policy_package,2.6666666666666665
91.0,0,ProClimatePolSupp,climate_policy_package,1.3333333333333333
91.0,1,ProClimatePolSupp,climate_policy_package,1.5
91.0,2,ProClimatePolSupp,climate_policy_package,1.5
91.0,3,ProClimatePolSupp,climate_policy_package,1.5
91.0,4,ProClimatePolSupp,climate_policy_package,1.5
91.0,5,ProClimatePolSupp,climate_policy_package,1.5
69.0,0,ProClimatePolSupp,climate_policy_package,0.0
69.0,1,ProClimatePolSupp,climate_policy_package,1.0
69.0,2,ProClimatePolSupp,climate_policy_package,1.6666666666666667
69.0,3,ProClimatePolSupp,climate_policy_package,0.8333333333333334
69.0,4,ProClimatePolSupp,climate_policy_package,1.0
69.0,5,ProClimatePolSupp,climate_policy_package,1.0
166.0,0,ProClimatePolSupp,climate_policy_package,1.5
166.0,1,ProClimatePolSupp,climate_policy_package,1.6666666666666667
166.0,2,ProClimatePolSupp,climate_policy_package,1.8333333333333333
166.0,3,ProClimatePolSupp,climate_policy_package,1.8333333333333333
166.0,4,ProClimatePolSupp,climate_policy_package,1.8333333333333333
166.0,5,ProClimatePolSupp,climate_policy_package,1.8333333333333333
103.0,0,ProClimatePolSupp,climate_policy_package,0.3333333333333333
103.0,1,ProClimatePolSupp,climate_policy_package,1.0
103.0,2,ProClimatePolSupp,climate_policy_package,1.6666666666666667
103.0,3,ProClimatePolSupp,climate_policy_package,1.6666666666666667
103.0,4,ProClimatePolSupp,climate_policy_package,1.6666666666666667
103.0,5,ProClimatePolSupp,climate_policy_package,1.6666666666666667
1262.0,0,ProClimatePolSupp,climate_policy_package,-0.5
1262.0,1,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1262.0,2,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1262.0,3,ProClimatePolSupp,climate_policy_package,0.6666666666666666
1262.0,4,ProClimatePolSupp,climate_policy_package,0.8333333333333334
1262.0,5,ProClimatePolSupp,climate_policy_package,0.8333333333333334
377.0,0,ProClimatePolSupp,climate_policy_package,1.3333333333333333
377.0,1,ProClimatePolSupp,climate_policy_package,1.5
377.0,2,ProClimatePolSupp,climate_policy_package,1.5
377.0,3,ProClimatePolSupp,climate_policy_package,1.5
377.0,4,ProClimatePolSupp,climate_policy_package,1.5
377.0,5,ProClimatePolSupp,climate_policy_package,1.5
574.0,0,ProClimatePolSupp,climate_policy_package,1.1666666666666667
574.0,1,ProClimatePolSupp,climate_policy_package,1.5
574.0,2,ProClimatePolSupp,climate_policy_package,1.5
574.0,3,ProClimatePolSupp,climate_policy_package,1.3333333333333333
574.0,4,ProClimatePolSupp,climate_policy_package,1.3333333333333333
574.0,5,ProClimatePolSupp,climate_policy_package,1.5
556.0,0,ProClimatePolSupp,climate_policy_package,2.6666666666666665
