agent_id,policy_id,ground_truth
165.0,ClimatePolicyID(1),2
165.0,ClimatePolicyID(2),0
165.0,ClimatePolicyID(3),0
165.0,ClimatePolicyID(4),1
165.0,ClimatePolicyID(5),1
165.0,ClimatePolicyID(6),1
582.0,ClimatePolicyID(1),1
582.0,ClimatePolicyID(2),0
582.0,ClimatePolicyID(3),-2
582.0,ClimatePolicyID(4),2
582.0,ClimatePolicyID(5),0
582.0,ClimatePolicyID(6),-1
1379.0,ClimatePolicyID(1),2
1379.0,ClimatePolicyID(2),0
1379.0,ClimatePolicyID(3),-1
1379.0,ClimatePolicyID(4),0
1379.0,ClimatePolicyID(5),0
1379.0,ClimatePolicyID(6),1
713.0,ClimatePolicyID(1),1
713.0,ClimatePolicyID(2),-3
713.0,ClimatePolicyID(3),-3
713.0,ClimatePolicyID(4),-3
713.0,ClimatePolicyID(5),-2
713.0,ClimatePolicyID(6),-3
1878.0,ClimatePolicyID(1),2
1878.0,ClimatePolicyID(2),-1
1878.0,ClimatePolicyID(3),0
1878.0,ClimatePolicyID(4),1
1878.0,ClimatePolicyID(5),2
1878.0,ClimatePolicyID(6),0
844.0,ClimatePolicyID(1),3
844.0,ClimatePolicyID(2),2
844.0,ClimatePolicyID(3),3
844.0,ClimatePolicyID(4),3
844.0,ClimatePolicyID(5),3
844.0,ClimatePolicyID(6),-2
409.0,ClimatePolicyID(1),2
409.0,ClimatePolicyID(2),2
409.0,ClimatePolicyID(3),1
409.0,ClimatePolicyID(4),3
409.0,ClimatePolicyID(5),1
409.0,ClimatePolicyID(6),2
1957.0,ClimatePolicyID(1),3
1957.0,ClimatePolicyID(2),3
1957.0,ClimatePolicyID(3),3
1957.0,ClimatePolicyID(4),3
1957.0,ClimatePolicyID(5),3
1957.0,ClimatePolicyID(6),1
91.0,ClimatePolicyID(1),2
91.0,ClimatePolicyID(2),1
91.0,ClimatePolicyID(3),1
91.0,ClimatePolicyID(4),2
91.0,ClimatePolicyID(5),2
91.0,ClimatePolicyID(6),0
69.0,ClimatePolicyID(1),1
69.0,ClimatePolicyID(2),0
69.0,ClimatePolicyID(3),0
69.0,ClimatePolicyID(4),1
69.0,ClimatePolicyID(5),0
69.0,ClimatePolicyID(6),-2
