policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,5,4,80.0,1,20.0,0,0.0
ClimatePolicyID(1),1,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(1),2,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(2),0,5,3,60.0,1,20.0,1,20.0
ClimatePolicyID(2),1,5,4,80.0,0,0.0,1,20.0
ClimatePolicyID(2),2,5,4,80.0,1,20.0,0,0.0
ClimatePolicyID(3),0,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(3),1,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(3),2,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(4),0,5,4,80.0,1,20.0,0,0.0
ClimatePolicyID(4),1,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(4),2,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(5),0,5,3,60.0,2,40.0,0,0.0
ClimatePolicyID(5),1,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(5),2,5,5,100.0,0,0.0,0,0.0
ClimatePolicyID(6),0,5,2,40.0,2,40.0,1,20.0
ClimatePolicyID(6),1,5,4,80.0,1,20.0,0,0.0
ClimatePolicyID(6),2,5,4,80.0,0,0.0,1,20.0
