respondent_id,n_questions,predicted_support_index,expected_support_index,index_delta_pred_minus_expected
10,6,-0.6666666666666666,1.0,-1.6666666666666665
15,6,3.0,-0.16666666666666666,3.1666666666666665
46,6,3.0,2.0,1.0
50,6,-1.8333333333333333,-2.0,0.16666666666666674
90,6,-2.0,-2.5,0.5
127,6,2.8333333333333335,0.16666666666666666,2.666666666666667
143,6,3.0,2.3333333333333335,0.6666666666666665
144,6,2.0,1.8333333333333333,0.16666666666666674
150,6,3.0,-0.16666666666666666,3.1666666666666665
156,6,2.0,-0.16666666666666666,2.1666666666666665
191,6,3.0,1.8333333333333333,1.1666666666666667
198,6,1.5,0.5,1.0
208,6,3.0,0.0,3.0
248,6,3.0,2.5,0.5
269,6,3.0,3.0,0.0
293,6,2.8333333333333335,-0.5,3.3333333333333335
307,6,1.8333333333333333,-1.1666666666666667,3.0
334,6,3.0,2.6666666666666665,0.3333333333333335
347,6,2.8333333333333335,0.6666666666666666,2.166666666666667
378,6,1.6666666666666667,2.0,-0.33333333333333326
389,6,2.8333333333333335,0.0,2.8333333333333335
403,6,0.8333333333333334,0.5,0.33333333333333337
405,6,-0.16666666666666666,0.16666666666666666,-0.3333333333333333
409,6,3.0,1.8333333333333333,1.1666666666666667
435,6,1.8333333333333333,0.8333333333333334,0.9999999999999999
446,6,-1.6666666666666667,-3.0,1.3333333333333333
500,6,0.16666666666666666,0.6666666666666666,-0.5
519,6,3.0,1.6666666666666667,1.3333333333333333
580,6,3.0,1.5,1.5
583,6,3.0,3.0,0.0
595,6,1.6666666666666667,-0.3333333333333333,2.0
603,6,-0.16666666666666666,1.8333333333333333,-2.0
605,6,-2.8333333333333335,0.16666666666666666,-3.0
672,6,-1.1666666666666667,0.3333333333333333,-1.5
673,6,-0.3333333333333333,-0.5,0.16666666666666669
692,6,0.3333333333333333,-2.0,2.3333333333333335
727,6,-1.3333333333333333,2.5,-3.833333333333333
728,6,2.3333333333333335,1.1666666666666667,1.1666666666666667
729,6,3.0,1.3333333333333333,1.6666666666666667
771,6,-0.8333333333333334,-1.8333333333333333,0.9999999999999999
807,6,1.1666666666666667,0.16666666666666666,1.0
821,6,3.0,2.1666666666666665,0.8333333333333335
847,6,2.8333333333333335,1.8333333333333333,1.0000000000000002
851,6,3.0,2.6666666666666665,0.3333333333333335
858,6,2.8333333333333335,0.6666666666666666,2.166666666666667
861,6,3.0,2.6666666666666665,0.3333333333333335
862,6,3.0,2.0,1.0
887,6,3.0,1.8333333333333333,1.1666666666666667
890,6,3.0,1.5,1.5
901,6,-3.0,-0.16666666666666666,-2.8333333333333335
913,6,0.16666666666666666,0.3333333333333333,-0.16666666666666666
918,6,3.0,1.6666666666666667,1.3333333333333333
925,6,3.0,0.5,2.5
927,6,0.0,0.6666666666666666,-0.6666666666666666
928,6,3.0,0.6666666666666666,2.3333333333333335
940,6,2.6666666666666665,0.0,2.6666666666666665
994,6,-1.5,1.3333333333333333,-2.833333333333333
1006,6,-0.16666666666666666,0.6666666666666666,-0.8333333333333333
1016,6,0.16666666666666666,0.0,0.16666666666666666
1021,6,3.0,1.5,1.5
1036,6,-1.0,-2.0,1.0
1072,6,0.6666666666666666,0.16666666666666666,0.5
1084,6,3.0,2.5,0.5
1105,6,0.0,0.3333333333333333,-0.3333333333333333
1118,6,3.0,2.8333333333333335,0.16666666666666652
1142,6,3.0,0.0,3.0
1163,6,3.0,2.0,1.0
1175,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333
1211,6,3.0,3.0,0.0
1216,6,3.0,0.3333333333333333,2.6666666666666665
1230,6,3.0,0.0,3.0
1283,6,1.3333333333333333,1.5,-0.16666666666666674
1301,6,3.0,2.3333333333333335,0.6666666666666665
1322,6,-1.0,-1.5,0.5
1392,6,1.1666666666666667,0.16666666666666666,1.0
1396,6,1.1666666666666667,0.3333333333333333,0.8333333333333335
1420,6,0.3333333333333333,0.16666666666666666,0.16666666666666666
1464,6,3.0,2.5,0.5
1469,6,3.0,1.8333333333333333,1.1666666666666667
1485,6,2.6666666666666665,-0.5,3.1666666666666665
1509,6,3.0,2.6666666666666665,0.3333333333333335
1532,6,-0.3333333333333333,1.1666666666666667,-1.5
1535,6,3.0,0.8333333333333334,2.1666666666666665
1538,6,3.0,1.6666666666666667,1.3333333333333333
1545,6,0.0,0.5,-0.5
1605,6,3.0,1.1666666666666667,1.8333333333333333
1621,6,-3.0,2.0,-5.0
1635,6,3.0,2.3333333333333335,0.6666666666666665
1639,6,2.5,0.0,2.5
1668,6,2.8333333333333335,0.6666666666666666,2.166666666666667
1670,6,-3.0,-1.8333333333333333,-1.1666666666666667
1689,6,3.0,1.5,1.5
1699,6,2.1666666666666665,1.3333333333333333,0.8333333333333333
1761,6,3.0,1.6666666666666667,1.3333333333333333
1768,6,3.0,0.6666666666666666,2.3333333333333335
1772,6,3.0,2.8333333333333335,0.16666666666666652
1791,6,-1.6666666666666667,0.5,-2.166666666666667
1820,6,3.0,1.1666666666666667,1.8333333333333333
1832,6,1.1666666666666667,-0.8333333333333334,2.0
1957,6,3.0,2.6666666666666665,0.3333333333333335
