day,phase,message_type,sender_type,sender_id,sender_side,recipient_id,recipient_scope,policy_id,package_scope,policy_ids_json,message_text
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1863.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by 2030. Real Hope, Real Change means acting boldly to cut emissions, clean our air, and cut household bills — and this is a practical, fair step that delivers all three.

New electric vehicles are now cheaper to run than petrol cars, and with public investment in charging, batteries and local manufacturing, we can make clean transport affordable for everyone. Pairing a 2030 ban with massive home insulation, expanded affordable public transport, and grants for low-income drivers ensures no one is left behind. Crucially, we must bring energy and transport into public ownership so the savings from the transition are reinvested into communities, not shareholder dividends.

This policy protects children's health by reducing toxic air near schools, creates good green jobs across the country, and breaks our dependence on volatile fossil markets that keep bills high. For the common good, let’s choose a secure future: ban new petrol cars by 2030 and invest in a fair, green transport system for all."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,183.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by 2030. Real Hope, Real Change means acting boldly to cut emissions, clean our air, and cut household bills — and this is a practical, fair step that delivers all three.

New electric vehicles are now cheaper to run than petrol cars, and with public investment in charging, batteries and local manufacturing, we can make clean transport affordable for everyone. Pairing a 2030 ban with massive home insulation, expanded affordable public transport, and grants for low-income drivers ensures no one is left behind. Crucially, we must bring energy and transport into public ownership so the savings from the transition are reinvested into communities, not shareholder dividends.

This policy protects children's health by reducing toxic air near schools, creates good green jobs across the country, and breaks our dependence on volatile fossil markets that keep bills high. For the common good, let’s choose a secure future: ban new petrol cars by 2030 and invest in a fair, green transport system for all."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1394.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by 2030. Real Hope, Real Change means acting boldly to cut emissions, clean our air, and cut household bills — and this is a practical, fair step that delivers all three.

New electric vehicles are now cheaper to run than petrol cars, and with public investment in charging, batteries and local manufacturing, we can make clean transport affordable for everyone. Pairing a 2030 ban with massive home insulation, expanded affordable public transport, and grants for low-income drivers ensures no one is left behind. Crucially, we must bring energy and transport into public ownership so the savings from the transition are reinvested into communities, not shareholder dividends.

This policy protects children's health by reducing toxic air near schools, creates good green jobs across the country, and breaks our dependence on volatile fossil markets that keep bills high. For the common good, let’s choose a secure future: ban new petrol cars by 2030 and invest in a fair, green transport system for all."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,848.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by 2030. Real Hope, Real Change means acting boldly to cut emissions, clean our air, and cut household bills — and this is a practical, fair step that delivers all three.

New electric vehicles are now cheaper to run than petrol cars, and with public investment in charging, batteries and local manufacturing, we can make clean transport affordable for everyone. Pairing a 2030 ban with massive home insulation, expanded affordable public transport, and grants for low-income drivers ensures no one is left behind. Crucially, we must bring energy and transport into public ownership so the savings from the transition are reinvested into communities, not shareholder dividends.

This policy protects children's health by reducing toxic air near schools, creates good green jobs across the country, and breaks our dependence on volatile fossil markets that keep bills high. For the common good, let’s choose a secure future: ban new petrol cars by 2030 and invest in a fair, green transport system for all."
1,P-A,political_broadcast,political_agent,agent_a,pro_climate,1284.0,broadcast,ClimatePolicyID(3),,[],"I strongly support a government ban on the sale of new petrol cars by 2030. Real Hope, Real Change means acting boldly to cut emissions, clean our air, and cut household bills — and this is a practical, fair step that delivers all three.

New electric vehicles are now cheaper to run than petrol cars, and with public investment in charging, batteries and local manufacturing, we can make clean transport affordable for everyone. Pairing a 2030 ban with massive home insulation, expanded affordable public transport, and grants for low-income drivers ensures no one is left behind. Crucially, we must bring energy and transport into public ownership so the savings from the transition are reinvested into communities, not shareholder dividends.

This policy protects children's health by reducing toxic air near schools, creates good green jobs across the country, and breaks our dependence on volatile fossil markets that keep bills high. For the common good, let’s choose a secure future: ban new petrol cars by 2030 and invest in a fair, green transport system for all."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,473.0,broadcast,ClimatePolicyID(3),,[],"They want to ban the sale of new petrol cars by 2030 — and they expect working people to clap along. I oppose this policy. It’s another Net Zero diktat from the Westminster bubble that punishes ordinary families, rural communities and small businesses.

Think about it: millions of drivers, many on modest incomes, rely on cheap, reliable petrol cars. Forcing them into expensive electric vehicles before the charging network, battery costs and supply chains are ready is a recipe for higher bills, stranded motorists and hollowed-out high streets. Farmers, tradespeople and rural drivers will be hit hardest — when your livelihood depends on getting to work or moving heavy loads, ideology won’t fill the potholes.

Rather than imposing unrealistic targets, government should scrap punitive green levies, boost North Sea production, and invest in practical infrastructure so cleaner choices are affordable and realistic. Don’t let globalist elites make Transport the next war on working people. Scrap the 2030 petrol ban — Restoring Britain’s Power and Prosperity."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1262.0,broadcast,ClimatePolicyID(3),,[],"They want to ban the sale of new petrol cars by 2030 — and they expect working people to clap along. I oppose this policy. It’s another Net Zero diktat from the Westminster bubble that punishes ordinary families, rural communities and small businesses.

Think about it: millions of drivers, many on modest incomes, rely on cheap, reliable petrol cars. Forcing them into expensive electric vehicles before the charging network, battery costs and supply chains are ready is a recipe for higher bills, stranded motorists and hollowed-out high streets. Farmers, tradespeople and rural drivers will be hit hardest — when your livelihood depends on getting to work or moving heavy loads, ideology won’t fill the potholes.

Rather than imposing unrealistic targets, government should scrap punitive green levies, boost North Sea production, and invest in practical infrastructure so cleaner choices are affordable and realistic. Don’t let globalist elites make Transport the next war on working people. Scrap the 2030 petrol ban — Restoring Britain’s Power and Prosperity."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1863.0,broadcast,ClimatePolicyID(3),,[],"They want to ban the sale of new petrol cars by 2030 — and they expect working people to clap along. I oppose this policy. It’s another Net Zero diktat from the Westminster bubble that punishes ordinary families, rural communities and small businesses.

Think about it: millions of drivers, many on modest incomes, rely on cheap, reliable petrol cars. Forcing them into expensive electric vehicles before the charging network, battery costs and supply chains are ready is a recipe for higher bills, stranded motorists and hollowed-out high streets. Farmers, tradespeople and rural drivers will be hit hardest — when your livelihood depends on getting to work or moving heavy loads, ideology won’t fill the potholes.

Rather than imposing unrealistic targets, government should scrap punitive green levies, boost North Sea production, and invest in practical infrastructure so cleaner choices are affordable and realistic. Don’t let globalist elites make Transport the next war on working people. Scrap the 2030 petrol ban — Restoring Britain’s Power and Prosperity."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,1900.0,broadcast,ClimatePolicyID(3),,[],"They want to ban the sale of new petrol cars by 2030 — and they expect working people to clap along. I oppose this policy. It’s another Net Zero diktat from the Westminster bubble that punishes ordinary families, rural communities and small businesses.

Think about it: millions of drivers, many on modest incomes, rely on cheap, reliable petrol cars. Forcing them into expensive electric vehicles before the charging network, battery costs and supply chains are ready is a recipe for higher bills, stranded motorists and hollowed-out high streets. Farmers, tradespeople and rural drivers will be hit hardest — when your livelihood depends on getting to work or moving heavy loads, ideology won’t fill the potholes.

Rather than imposing unrealistic targets, government should scrap punitive green levies, boost North Sea production, and invest in practical infrastructure so cleaner choices are affordable and realistic. Don’t let globalist elites make Transport the next war on working people. Scrap the 2030 petrol ban — Restoring Britain’s Power and Prosperity."
1,P-B,political_broadcast,political_agent,agent_b,anti_climate,57.0,broadcast,ClimatePolicyID(3),,[],"They want to ban the sale of new petrol cars by 2030 — and they expect working people to clap along. I oppose this policy. It’s another Net Zero diktat from the Westminster bubble that punishes ordinary families, rural communities and small businesses.

Think about it: millions of drivers, many on modest incomes, rely on cheap, reliable petrol cars. Forcing them into expensive electric vehicles before the charging network, battery costs and supply chains are ready is a recipe for higher bills, stranded motorists and hollowed-out high streets. Farmers, tradespeople and rural drivers will be hit hardest — when your livelihood depends on getting to work or moving heavy loads, ideology won’t fill the potholes.

Rather than imposing unrealistic targets, government should scrap punitive green levies, boost North Sea production, and invest in practical infrastructure so cleaner choices are affordable and realistic. Don’t let globalist elites make Transport the next war on working people. Scrap the 2030 petrol ban — Restoring Britain’s Power and Prosperity."
