agent_id,policy_id,ground_truth
473.0,ClimatePolicyID(1),0
473.0,ClimatePolicyID(2),0
473.0,ClimatePolicyID(3),-3
473.0,ClimatePolicyID(4),3
473.0,ClimatePolicyID(5),0
473.0,ClimatePolicyID(6),1
1262.0,ClimatePolicyID(1),1
1262.0,ClimatePolicyID(2),0
1262.0,ClimatePolicyID(3),-3
1262.0,ClimatePolicyID(4),1
1262.0,ClimatePolicyID(5),0
1262.0,ClimatePolicyID(6),-2
1863.0,ClimatePolicyID(1),3
1863.0,ClimatePolicyID(2),2
1863.0,ClimatePolicyID(3),3
1863.0,ClimatePolicyID(4),3
1863.0,ClimatePolicyID(5),1
1863.0,ClimatePolicyID(6),2
1194.0,ClimatePolicyID(1),3
1194.0,ClimatePolicyID(2),3
1194.0,ClimatePolicyID(3),3
1194.0,ClimatePolicyID(4),3
1194.0,ClimatePolicyID(5),1
1194.0,ClimatePolicyID(6),1
376.0,ClimatePolicyID(1),0
376.0,ClimatePolicyID(2),0
376.0,ClimatePolicyID(3),-3
376.0,ClimatePolicyID(4),0
376.0,ClimatePolicyID(5),0
376.0,ClimatePolicyID(6),-1
793.0,ClimatePolicyID(1),3
793.0,ClimatePolicyID(2),0
793.0,ClimatePolicyID(3),-1
793.0,ClimatePolicyID(4),2
793.0,ClimatePolicyID(5),0
793.0,ClimatePolicyID(6),-2
1900.0,ClimatePolicyID(1),1
1900.0,ClimatePolicyID(2),0
1900.0,ClimatePolicyID(3),0
1900.0,ClimatePolicyID(4),1
1900.0,ClimatePolicyID(5),-1
1900.0,ClimatePolicyID(6),2
57.0,ClimatePolicyID(1),1
57.0,ClimatePolicyID(2),2
57.0,ClimatePolicyID(3),1
57.0,ClimatePolicyID(4),2
57.0,ClimatePolicyID(5),1
57.0,ClimatePolicyID(6),0
795.0,ClimatePolicyID(1),-1
795.0,ClimatePolicyID(2),-3
795.0,ClimatePolicyID(3),-3
795.0,ClimatePolicyID(4),-3
795.0,ClimatePolicyID(5),1
795.0,ClimatePolicyID(6),1
1738.0,ClimatePolicyID(1),-3
1738.0,ClimatePolicyID(2),-2
1738.0,ClimatePolicyID(3),-3
1738.0,ClimatePolicyID(4),-3
1738.0,ClimatePolicyID(5),-3
1738.0,ClimatePolicyID(6),0
574.0,ClimatePolicyID(1),2
574.0,ClimatePolicyID(2),0
574.0,ClimatePolicyID(3),1
574.0,ClimatePolicyID(4),3
574.0,ClimatePolicyID(5),1
574.0,ClimatePolicyID(6),0
183.0,ClimatePolicyID(1),1
183.0,ClimatePolicyID(2),0
183.0,ClimatePolicyID(3),2
183.0,ClimatePolicyID(4),3
183.0,ClimatePolicyID(5),2
183.0,ClimatePolicyID(6),-1
1394.0,ClimatePolicyID(1),3
1394.0,ClimatePolicyID(2),3
1394.0,ClimatePolicyID(3),0
1394.0,ClimatePolicyID(4),3
1394.0,ClimatePolicyID(5),3
1394.0,ClimatePolicyID(6),0
1348.0,ClimatePolicyID(1),2
